Status,Name,Altitude [m],Summit Latitude,Summit Longitude,Season,Type,Grade,Distance [km],Duration [h],Elevation Gain [m],GPX File,Project
,Six Blanc (Val Ferret),2795,45.880167,7.107371,Winter,Ski,3.2 / E1 AD / S4,15.3,6,1140,Six_Blanc(Val_Ferret),No Project
to do,Mont Telliers,2951,45.898323,7.145303,,,,,,,,No Project
to do,Dents du Grand Lé,2884,45.901005,7.157971,,,,,,,,No Project
to do,Mont Vélan,3727,45.891937,7.25147,,,,,,,,No Project
to do,Pointe de Penne,2782,45.945136,7.238284,,,,,,,,No Project
to do,Le Beaufort,3048,45.945835,7.248436,,,,,,,,No Project
to do,Bonhomme du Tsapi,2803,45.963328,7.233757,,,,,,,,No Project
,Pointe de la Tsevalire,3026,46.162397,7.508624,Winter,Ski,2.1 / E1 PD / S3,19.45,4.3,1691,La_Tsevalire,No Project
,La Luette,3548,46.01041,7.387562,Winter,Ski,2.2 / E2 PD / S3,17.8,10.8,1311,La_Luette,No Project
,Pointe de Vouasson,3490,46.071502,7.42543,Winter,Ski,2.2 / E1 PD+ / S2,14.3,5,1650,Pointe_de_Vouasson,No Project
to do,Palanche de la Cretta,2926,46.094244,7.464523,,,,,,,,No Project
to do,Mont Blanc de Cheilon,3870,45.993573,7.417228,,,,,,,,No Project
to do,Combin de Boveire,3663,45.964904,7.270739,,,,,,,,No Project
to do,Petit Combin,3663,45.983848,7.267721,,,,,,,,No Project
to do,Grand combin,4314,45.937578,7.299224,,,,,,,,4000
to do,Castor,4228,45.920858,7.793271,,,,,,,,4000
to do,Pollux,4092,45.927814,7.78531,,,,,,,,4000
to do,Dufourspitze,4634,45.936917,7.866747,,,,,,,,4000
to do,Matterhorn,4478,45.976428,7.6586,,,,,,,,4000
to do,Bishorn,4149,46.1179218,7.7149611,,,,,,,,4000
to do,Ober Gabelhorn,4073,46.038603,7.668038,,,,,,,,4000
to do,Lenzspitze,4294,46.104553,7.868654,,,,,,,,4000
to do,Mont Blanc,4809,45.8327056,6.8651706,,,,,,,,4000
to do,Mont Blanc du Tacul,4248,45.8565863,6.8885201,,,,,,,,4000
to do,Mont Maudit,4465,45.8474391,6.8759863,,,,,,,,4000
,Pointe de la Sambuy,2198,45.6916202,6.2654422,Summer,Hike,T3,11.6,3.7,1267,Grande_Sambuy,Bauges
,Pointe Chaurionde,2173,45.6838204,6.2582775,Summer,Hike,T5,2,0.9,335,Pointe_de_Chaurionde,Bauges
,Pointe d'Arcalod,2217,45.681712,6.228154,Summer,Hike,T3,11.2,3,501,Arcalod,Bauges
,Tré le Mollard,2035,45.6683251,6.2234354,Summer,Rando/trail,T3,15.9,3,1342,Tré_le_Mollard_Mont_de_la_Coche,Bauges
,Mont de la Coche,2070,45.6669803,6.2254742,Summer,Rando/trail,T5,15.9,3,1342,Tré_le_Mollard_Mont_de_la_Coche,Bauges
,Mont Pecloz,2197,45.6317663,6.229747,Summer,Rando/trail,T5,22.3,2 days,2400,Pécloz_Arménaz_Arces_Arlicots_Grand_Parra_et_Arclusaz,Bauges
,Mont d'Armenaz,2158,45.6279804,6.237497,Summer,Rando/trail,T5,22.3,2 days,2400,Pécloz_Arménaz_Arces_Arlicots_Grand_Parra_et_Arclusaz,Bauges
,Pointe des Arces,2076,45.6148716,6.2252196,Summer,Rando/trail,T5,22.3,2 days,2400,Pécloz_Arménaz_Arces_Arlicots_Grand_Parra_et_Arclusaz,Bauges
,Pointe des Arlicots,2060,45.607263,6.2065158,Summer,Rando/trail,T5,22.3,2 days,2400,Pécloz_Arménaz_Arces_Arlicots_Grand_Parra_et_Arclusaz,Bauges
,Grand Parra,2063,45.6035387,6.1992417,Summer,Rando/trail,T5,22.3,2 days,2400,Pécloz_Arménaz_Arces_Arlicots_Grand_Parra_et_Arclusaz,Bauges
,Dent d'Arclusaz,2041,45.6006674,6.1736822,Summer,Rando/trail,T3,22.3,2 days,2400,Pécloz_Arménaz_Arces_Arlicots_Grand_Parra_et_Arclusaz,Bauges
,Mont Trelod,2181,45.6927213,6.196179,Summer,Hike,T4,19.9,5.3,1477,Trélod,Bauges
,Dent de Cons,2063,45.7296285,6.3512686,Summer,Hike,T2,6.7,1.8,813,Dent_de_Cons,Bauges
,Mont Colombier,2043,45.6444835,6.1194771,Winter,Hike,T2,10.4,2.8,1119,Mont_Colombier,Bauges
,Mont Veyrier,1291,45.9006184,6.1826234,Summer,Hike,T2,8.7,2.8,758,Mont_Veyrier,Annecy
,Mont Veyrier,1291,45.9006184,6.1826234,Summer,Trail Running,T2,20.6,4.9,1839,Veyrier_Baret_Baron,Annecy
,Mont Baret,1243,45.887249,6.196549,Summer,Trail Running,T2,20.6,4.9,1839,Veyrier_Baret_Baron,Annecy
,Mont Baron,1291,45.896916,6.1859291,Summer,Trail Running,T2,20.6,4.9,1839,Veyrier_Baret_Baron,Annecy
to do,Dents de lanfon,1828,45.8612796,6.2418396,,,,,,,,Annecy
,Col des Frêtes,1584,45.8526842,6.2511638,Summer,Hike,T4,7.2,3.5,968,Col_des_Frêtes,Annecy
,Pointe de Talamarche,1852,45.8598069,6.2573406,Summer,Hike,T3,11.3,4.5,650,Pointe_de_Talamarche,Annecy
,Lanfonnet,1768,45.847008,6.2553582,Summer,Hike,T4,15.6,4.6,882,Forclaz_Lanfonnet,Annecy
,Tournette,2351,45.827088,6.286145,Autumn,Trail running,T2,27.7,1 day,1630,Tournette (Grande boucle),Annecy
,Charbon,1932,45.7479984,6.2048296,Summer,Hike,T2,15.2,3.4,1194,Au_Charbon_,Annecy
,Pointe de Banc plat,1907,45.7300617,6.1950482,Summer,Hike,T2,20.1,5.2,1430,Pointe_de_Banc_Plat,Annecy
,Roc des Boeufs,1775,45.755054,6.1662197,Winter,Hike,T1,11.2,3.5,884,Roc_des_Boeufs,Annecy
